category,subtype,article,colour,thickness,size,uom,on_hand,supplier_name,attributes,source_row,source_file,note
LEATHER,,SHEEP DD,RED,,,DCM,741,,"{""pcs"": ""11"", ""unit_price"": ""7.5""}",72,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP NAPPA,BROWN,,,DCM,396,,"{""pcs"": ""6"", ""unit_price"": ""8""}",73,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP NAPPA,PANNA,,,DCM,257,,"{""pcs"": ""6"", ""unit_price"": ""8""}",74,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP DD,MACADA,,,DCM,320,,"{""pcs"": ""6"", ""unit_price"": ""7.25""}",75,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP DD,L.PINK,,,DCM,336,,"{""pcs"": ""8"", ""unit_price"": ""7.5""}",76,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP ONE TOUCH,L.BROWN,,,DCM,417,,"{""pcs"": ""8"", ""unit_price"": ""8""}",77,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP GLASS,WALLNET,,,DCM,22.9,,"{""pcs"": ""4"", ""unit_price"": ""12""}",78,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP NUBUCK(COW ATTUM),BROWN,,,DCM,1419,,"{""pcs"": ""28"", ""unit_price"": ""9""}",79,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP NAPPA,BORDO,,,DCM,2273,,"{""pcs"": ""33"", ""unit_price"": ""9""}",80,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP GLASS,BLACK,,,DCM,1974,,"{""pcs"": ""48"", ""unit_price"": ""12""}",81,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP POLO,BEIGE,,,DCM,684,,"{""pcs"": ""15"", ""unit_price"": ""8""}",82,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP DD,D.BEIGE,,,DCM,347,,"{""pcs"": ""9"", ""unit_price"": ""7.5""}",83,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP DD,D.NAVY,,,DCM,758,,"{""pcs"": ""10"", ""unit_price"": ""7.5""}",84,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP DD,RED,,,DCM,741,,"{""pcs"": ""11"", ""unit_price"": ""7.5""}",85,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP DD,BLUE,,,DCM,694,,"{""pcs"": ""15"", ""unit_price"": ""7.5""}",86,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP DD,TAN,,,DCM,983,,"{""pcs"": ""20"", ""unit_price"": ""7.5""}",87,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP SEMI VEG,BLACK,,,DCM,828,,"{""pcs"": ""13"", ""unit_price"": ""7.5""}",88,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP SEMI VEG,BLACK,,,DCM,699,,"{""pcs"": ""14"", ""unit_price"": ""7.5""}",89,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP VEG TUMBLE,BLACK,,,DCM,308,,"{""pcs"": ""5"", ""unit_price"": ""9""}",90,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP NUBUCK,RASCAL,,,DCM,1322,,"{""pcs"": ""27"", ""unit_price"": ""8""}",91,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,COW RUBOFF,BROWN,,,DCM,1319,,"{""pcs"": ""19"", ""unit_price"": ""9""}",92,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP RUBOFF,BLACK/BEIGE,,,DCM,1638,ATC,"{""pcs"": ""29"", ""buyer_ref"": ""JPN"", ""unit_price"": ""9""}",93,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,COW RUBOFF,BLACK/BEIGE,,,DCM,1829,ATC,"{""pcs"": ""18"", ""buyer_ref"": ""JPN"", ""unit_price"": ""9""}",94,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT NAPPLAN,BLACK,,,DCM,580,,"{""pcs"": ""10"", ""unit_price"": ""8""}",95,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT NAPPLAN,BLACK,,,DCM,817,,"{""pcs"": ""17"", ""unit_price"": ""8""}",96,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT NAPPLAN,BLACK,,,DCM,232,,"{""pcs"": ""7"", ""unit_price"": ""8""}",97,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP ANTIC,GREEN,,,DCM,572,,"{""pcs"": ""8"", ""unit_price"": ""8""}",98,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP ANTIC,BLACK,,,DCM,1666,,"{""pcs"": ""32"", ""unit_price"": ""8""}",99,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP CROCO,BLACK,,,DCM,468,,"{""pcs"": ""8"", ""unit_price"": ""9""}",100,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP PASSION,GREEN,,,DCM,991,,"{""pcs"": ""18"", ""unit_price"": ""8""}",101,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,SHEEP CRUSH WASH,BLACK,,,DCM,1062,,"{""pcs"": ""25"", ""unit_price"": ""8""}",102,STOCK_LEATHER_TILL_31_03_2026.xlsx,
LEATHER,,GOAT ANTIC,GREY,,,DCM,536,,"{""pcs"": ""10"", ""unit_price"": ""8""}",103,STOCK_LEATHER_TILL_31_03_2026.xlsx,
